id,text,is_humor,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5,funniness_average
705196579758583809,vele de ret raso mental bajo medio alto eva reg sar con tu ex,1,1,2,2,0,0,0,1.5
678040651817213952,vamos luke sen fund tu sable demu estr tu odio que per ten ece al lado oscuro se or base los pantal ones llamo guri dad aja,1,1,3,0,1,0,0,1.5
546750892213829633,te rez algo agua caf mi coraz mi vida enter agua est bien pero yo cre que agua dije,1,0,2,1,0,1,1,2.6
965807211292364801,no se porqu me hago la cabeza deooos,0,3,0,0,0,0,0,
638403841839484928,quisiera saber que hago durante la siesta de la cual me levant s can sado que cuando me acost dormir,0,4,0,1,0,0,0,
670068341596413952,la person que te dice que no se arr epi de nada en la vida no toma alcohol no lleva el lula cuando lo hace,0,3,1,1,0,0,0,
753489211324379136,buena don pepe me vende un litro de leche enter no si quiere mese un vasito pinche viejo bus ivo,1,1,1,1,1,1,0,2.5
965725925684994055,meeee aburro,0,3,0,0,0,0,0,
661390091005358080,macri le dijo las gordas que usar calzas est bien,0,3,0,0,0,0,0,
965703947523571712,javier chic alito hernandez number,0,3,0,0,0,0,0,
965763582133784576,cond uci cerro navia com part form aci de la carretera en tiempo real con wazers en mi zona eta number pm usando waze cond ucc,0,3,0,0,0,0,0,
244884358199119873,los bonitos le ponen pausa al video jue para escu char lo que dicen sni bonita,0,3,0,0,0,0,0,
224604761373151232,number cosas que hace ran tes demo rir ense arles la ferenc entre hay de haber ah de lugar ay de lamar ai se eu te pego,1,0,1,1,2,1,0,2.6
888857629681909762,le que la falta de sexo trae cons igo una notable mejora en el xico me quedo abs ante tal firm aci care de rac ioc,1,1,1,0,1,1,1,3.25
965715326670458883,ahora un poco mas breve evil list que venda una acci una raid,0,3,0,0,0,0,0,
965675220769165314,ya apron bolso,0,3,0,0,0,0,0,
941180430170107904,esas canci ones del lula que nunca escu amos pero no las bor ramos por si acaso,0,6,1,1,1,0,0,
838978918493392896,se te ven buenas chichis en tu foto de what app via todas,0,3,1,1,0,0,0,
796725289120309249,ni jes te ama,0,4,0,0,0,1,0,
965732074522103808,ah no bien,0,3,0,0,0,0,0,
233705112353267712,te quiero pero yotan twitter t tan facebook,1,2,2,0,1,0,0,1.6667
327795499182747648,el alcohol es un veneno si es un veneno por qu lo tomas porque hay cosas dentro de mi que nec matar charlie sheen,1,2,1,1,0,1,0,2.3333
173815429255536640,cambi mi contra de twitter por incorrect si se me olvida twitter me la record su contra es incorrect soy una genio,1,0,0,3,5,1,0,2.7777777777777777
965902656882561024,estoy mas en twitter que en clase en clase,1,2,1,1,1,0,0,2.0
745453843320700928,di algo bonito a m bonito tros,0,4,1,0,0,0,0,
765054115139362816,un piano me caer excel en estos momentos,1,1,1,1,1,1,0,2.5
965813867673776129,saludos todos,0,3,0,0,0,0,0,
766299934987522049,mo va la dieta me la com,1,1,0,8,3,2,2,2.8666666666666667
682749615872065536,what app cay varias veces en number vos dav no caes que nadie te porta,1,2,2,0,0,0,1,2.3333
965829810227433472,lo malo de ser latina es que ten emo que vivir bien que probable men nunca abra are mos nuestros idolos,0,3,0,0,0,0,0,
268470674560008192,hijo comp ras una ipad no por qu ent once por qu traes esa tablet sin teclas aja ya mam deja mi novia en paz,1,1,4,0,0,0,0,1.0
781147277817634816,los hombres solo le vemos las nalgas otras mujeres solo para decir ah est m bonita las de mi novia des haciendo un drama,1,1,0,2,2,0,0,2.5
399380121271803904,soy virgen lo juro por mis dos hijos,1,2,1,2,0,0,0,1.6666666666999999
804052505428639744,bien veni los men cu es tu poder creo reg sar con mi ex muy bien te llama remo best,1,0,2,2,0,1,0,2.0
879516756972273664,tomar champ des de lav arse los dien tes mas rico,0,3,0,0,0,0,0,
836097315639345153,soy la la land en el amor oscars,0,3,0,0,0,0,0,
828306518281908224,no se si estoy cruda peda viva arriba abajo tura sola la media vuelta des pac quiero spira tu cuello eeee pa ci to,0,3,0,0,0,0,0,
792432498034606080,me cel era el coraz cada vez que siento adrenal conch coen infinitum,0,3,0,0,0,0,0,
965773367453388800,otra vez me estaba sinti endo lindo pum nueva men todo al piso xdxd,0,3,0,0,0,0,0,
953462194750083072,tien pas till para la dia no ok deme un rollo de papel hig nico,1,0,1,1,2,1,0,2.6
965730841421807622,vengo de ver fifty shades freed tengo sen imi enos contra dos,0,3,0,0,0,0,0,
353491074771197953,que te pongan una vacuna gritar la base de datos de virus ha sido actual ada,1,1,3,6,1,0,1,2.090909090909091
365618789150228483,te pienso en number pier sea,0,3,0,0,0,0,0,
965770582452310017,quiero un number yo quiero que te vallas ala concha de tu madre,1,1,4,0,0,0,0,1.0
286984350371807232,hola linda por qu tan sola es que me vine tirar un pedo,1,1,3,4,2,0,0,1.8888888888888888
802401032265408513,lo bueno que tras la muerte de fidel su rostro ser mortal en mer canc capitalist tal como cedi con el che,0,3,0,0,0,0,0,
213778349376536576,mad rar es dejar de creer que el profesor jira les lo entr aba tomar una tacita de caf xd,1,1,2,1,0,1,0,2.0
965771102524989442,estaba re emo cio nada,0,3,0,0,0,0,0,
965815260178460672,nec bajar number kilos number pa ser normal auqnue sea,0,3,1,1,0,0,0,
961893183335682048,mira pensar ese era mi amigo como pudo cambia tanto,0,6,0,0,0,0,0,
238328710267293697,sped carmen ari stegui por pre de los pinos atte joaqu vargas ooo ome eeee iii gaa sss sss,0,3,0,1,0,0,0,
243773770324652033,tere erdo que el ma ana es lo nico que no ten emo seguro as que uta el hoy como si fuera el ltimo a,0,3,0,0,0,0,0,
750759976742768640,que por qu no tengo tatu jes acaso le pond una calc oman un lamborghini,1,1,2,2,0,0,0,1.5
789598238651346944,mira amiga nos vale verga que sepas andar en patine ya mos la reza que com part con tu novio el mar igua nero pio ese,0,4,0,0,0,0,0,
965778174134116353,ahora tengo subir de number grupos s pero ya me puse la pijama,0,4,0,0,0,0,0,
973652119432679424,thomas no yo no tomo no que si thomas vino no me gusta el vino no que si lleg thomas no no tomar ni aunque lle gue,1,2,6,2,3,0,1,2.0
776153764768153600,extra ancelotti con su ceja que ada mast can chicle poni endo de titular mi beb james,0,4,0,1,0,0,0,
963328359865421824,en que se are un logo un cam are en que los dos abaj donde los demas se vier ten his tes,1,0,0,2,1,2,0,3.0
920307479950569474,oye we ent once qu berga vienes la escuela yo cuando gui no tiene los punt que nec,1,2,2,1,0,0,0,1.3333
942943697385160704,todo es s moci ante cuando que te voy ver,0,4,0,0,0,0,0,
795265763720445952,spi tense por quer si yo no voy desc ansar en domingo des menos arriba,0,3,0,0,0,0,0,
923916490973249537,llamar tu ex ando cosas de bor chos,0,3,0,0,0,0,0,
965947200382685186,ya me empec sentir mal milagro por favor,0,4,1,0,0,0,0,
498210015787089920,number etapas de la vida number creer en santa claus number no creer en santa claus number ser santa claus number are cer santa claus,1,0,0,3,1,1,0,2.6
766059802887806976,buena tardes vengo que me haga un tatu de qu de tres tes tigres trag ando trigo nde en un trigal,1,0,1,0,0,2,2,3.8
708505341361664000,mi no me mandes mensa de te extra mi dame sal que estoy aqu,0,3,0,0,0,0,0,
965909824948113408,kiko diego las cas feliz cum plea ster,0,3,0,0,0,0,0,
934619477076877312,mam me cort el dedo patel hijo no lo cue tro,1,0,1,1,2,1,0,2.6
383427598778634240,la real dad es dura pero se tiene que front,0,3,0,0,0,0,0,
744215685237112833,enamor yo aja aja que me haya com prado un blackberry porque me pidio mi pin no tiene nada que ver,1,1,3,0,0,1,0,1.75
392355461430644736,poli dos chicas se est pele ando por y cu es el problem es que va nando la gorda,1,0,7,2,11,2,2,2.583333333333333
965808918395019264,aja aja aja xque todos me contest ese motivo tan obvio es todo,0,4,1,0,0,0,0,
965675266881282048,el amor crea tension el sexo las laj lunatic hot alert igu tes igo,0,3,0,0,0,0,0,
98115432594157568,ten amos una farm cia pero la cer ramos porque no ten amos mas medio fb,1,0,1,1,1,1,2,3.3333
965708003436613632,miami refugio de los corrupt,0,3,0,1,0,0,0,
965707701459308545,house on fire es una volada de wig que flipas ale mania,0,3,0,0,0,0,0,
752973377296601092,lo que pasa en las vegas se queda en las vegas nunca hemos estado en las vegas esa es la act,1,1,0,0,2,2,0,3.5
940881682646884353,lo bien uta jam ser vida,0,3,0,0,0,0,0,
828679203239321600,para ser feliz hay que tener mala moria,0,3,0,0,0,0,0,
115589802514059264,his ere tart amu no no no no pe pen pen dejo hablo en remix his tes rt,1,0,3,7,7,1,0,2.333333333333333
101336108650086400,pasa una mujer jai mito le dice oye te dolio que cosa cuando te caiste del cielo ay lindo noo es te quedo la cara vuelta mierd,1,0,2,2,1,0,0,1.8
965722758989729792,ayer no te hac en mi vida hoy me desh aces son rien,0,3,0,0,0,0,0,
965762151888642048,error lo s peligro de la costa es salir correr contra nal and ram su comit jaja,0,3,0,0,0,0,0,
943081908384215040,tu gust arme ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja tengo que imu lar un poco mas,1,1,2,1,1,0,0,1.75
925814087472304128,rt con el pollo asado premios enix,0,4,1,0,0,0,0,
863957879187017728,estaba viendo netflix tranquil men hasta que record todo lo que tengo por hacer ahora estoy viendo netflix tresa men,1,1,0,1,3,0,0,2.75
965660175788138496,cay la verga la plata form de amino,0,3,0,0,0,0,0,
727599631912284160,atl tico vs real madrid guard este come rio,0,3,0,0,0,0,0,
